Year,Income owner,Heating system final,MPR
2018,D1,Electricity-Heat pump water,4000
2018,D2,Electricity-Heat pump water,4000
2018,D3,Electricity-Heat pump water,3000
2018,D4,Electricity-Heat pump water,3000
2018,D5,Electricity-Heat pump water,2000
2018,D6,Electricity-Heat pump water,2000
2018,D7,Electricity-Heat pump water,2000
2018,D8,Electricity-Heat pump water,2000
2018,D9,Electricity-Heat pump water,0
2018,D10,Electricity-Heat pump water,0
2018,D1,Wood fuel-Performance boiler,2500
2018,D2,Wood fuel-Performance boiler,2500
2018,D3,Wood fuel-Performance boiler,2000
2018,D4,Wood fuel-Performance boiler,2000
2018,D5,Wood fuel-Performance boiler,1000
2018,D6,Wood fuel-Performance boiler,1000
2018,D7,Wood fuel-Performance boiler,1000
2018,D8,Wood fuel-Performance boiler,0
2018,D9,Wood fuel-Performance boiler,0
2018,D10,Wood fuel-Performance boiler,0
2019,D1,Electricity-Heat pump water,4000
2019,D2,Electricity-Heat pump water,4000
2019,D3,Electricity-Heat pump water,3000
2019,D4,Electricity-Heat pump water,3000
2019,D5,Electricity-Heat pump water,2000
2019,D6,Electricity-Heat pump water,2000
2019,D7,Electricity-Heat pump water,2000
2019,D8,Electricity-Heat pump water,2000
2019,D9,Electricity-Heat pump water,0
2019,D10,Electricity-Heat pump water,0
2019,D1,Wood fuel-Performance boiler,2500
2019,D2,Wood fuel-Performance boiler,2500
2019,D3,Wood fuel-Performance boiler,2000
2019,D4,Wood fuel-Performance boiler,2000
2019,D5,Wood fuel-Performance boiler,1000
2019,D6,Wood fuel-Performance boiler,1000
2019,D7,Wood fuel-Performance boiler,1000
2019,D8,Wood fuel-Performance boiler,0
2019,D9,Wood fuel-Performance boiler,0
2019,D10,Wood fuel-Performance boiler,0
2020,D1,Electricity-Heat pump water,4000
2020,D2,Electricity-Heat pump water,4000
2020,D3,Electricity-Heat pump water,3000
2020,D4,Electricity-Heat pump water,3000
2020,D5,Electricity-Heat pump water,2000
2020,D6,Electricity-Heat pump water,2000
2020,D7,Electricity-Heat pump water,2000
2020,D8,Electricity-Heat pump water,2000
2020,D9,Electricity-Heat pump water,0
2020,D10,Electricity-Heat pump water,0
2020,D1,Wood fuel-Performance boiler,2500
2020,D2,Wood fuel-Performance boiler,2500
2020,D3,Wood fuel-Performance boiler,2000
2020,D4,Wood fuel-Performance boiler,2000
2020,D5,Wood fuel-Performance boiler,1000
2020,D6,Wood fuel-Performance boiler,1000
2020,D7,Wood fuel-Performance boiler,1000
2020,D8,Wood fuel-Performance boiler,0
2020,D9,Wood fuel-Performance boiler,0
2020,D10,Wood fuel-Performance boiler,0
2021,D1,Electricity-Heat pump water,4000
2021,D2,Electricity-Heat pump water,4000
2021,D3,Electricity-Heat pump water,3000
2021,D4,Electricity-Heat pump water,3000
2021,D5,Electricity-Heat pump water,2000
2021,D6,Electricity-Heat pump water,2000
2021,D7,Electricity-Heat pump water,2000
2021,D8,Electricity-Heat pump water,2000
2021,D9,Electricity-Heat pump water,0
2021,D10,Electricity-Heat pump water,0
2021,D1,Wood fuel-Performance boiler,2500
2021,D2,Wood fuel-Performance boiler,2500
2021,D3,Wood fuel-Performance boiler,2000
2021,D4,Wood fuel-Performance boiler,2000
2021,D5,Wood fuel-Performance boiler,1000
2021,D6,Wood fuel-Performance boiler,1000
2021,D7,Wood fuel-Performance boiler,1000
2021,D8,Wood fuel-Performance boiler,0
2021,D9,Wood fuel-Performance boiler,0
2021,D10,Wood fuel-Performance boiler,0
2022,D1,Electricity-Heat pump water,4000
2022,D2,Electricity-Heat pump water,4000
2022,D3,Electricity-Heat pump water,3000
2022,D4,Electricity-Heat pump water,3000
2022,D5,Electricity-Heat pump water,2000
2022,D6,Electricity-Heat pump water,2000
2022,D7,Electricity-Heat pump water,2000
2022,D8,Electricity-Heat pump water,2000
2022,D9,Electricity-Heat pump water,0
2022,D10,Electricity-Heat pump water,0
2022,D1,Wood fuel-Performance boiler,2500
2022,D2,Wood fuel-Performance boiler,2500
2022,D3,Wood fuel-Performance boiler,2000
2022,D4,Wood fuel-Performance boiler,2000
2022,D5,Wood fuel-Performance boiler,1000
2022,D6,Wood fuel-Performance boiler,1000
2022,D7,Wood fuel-Performance boiler,1000
2022,D8,Wood fuel-Performance boiler,0
2022,D9,Wood fuel-Performance boiler,0
2022,D10,Wood fuel-Performance boiler,0
2023,D1,Electricity-Heat pump water,4000
2023,D2,Electricity-Heat pump water,4000
2023,D3,Electricity-Heat pump water,3000
2023,D4,Electricity-Heat pump water,3000
2023,D5,Electricity-Heat pump water,2000
2023,D6,Electricity-Heat pump water,2000
2023,D7,Electricity-Heat pump water,2000
2023,D8,Electricity-Heat pump water,2000
2023,D9,Electricity-Heat pump water,0
2023,D10,Electricity-Heat pump water,0
2023,D1,Wood fuel-Performance boiler,2500
2023,D2,Wood fuel-Performance boiler,2500
2023,D3,Wood fuel-Performance boiler,2000
2023,D4,Wood fuel-Performance boiler,2000
2023,D5,Wood fuel-Performance boiler,1000
2023,D6,Wood fuel-Performance boiler,1000
2023,D7,Wood fuel-Performance boiler,1000
2023,D8,Wood fuel-Performance boiler,0
2023,D9,Wood fuel-Performance boiler,0
2023,D10,Wood fuel-Performance boiler,0
2024,D1,Electricity-Heat pump water,4000
2024,D2,Electricity-Heat pump water,4000
2024,D3,Electricity-Heat pump water,3000
2024,D4,Electricity-Heat pump water,3000
2024,D5,Electricity-Heat pump water,2000
2024,D6,Electricity-Heat pump water,2000
2024,D7,Electricity-Heat pump water,2000
2024,D8,Electricity-Heat pump water,2000
2024,D9,Electricity-Heat pump water,0
2024,D10,Electricity-Heat pump water,0
2024,D1,Wood fuel-Performance boiler,2500
2024,D2,Wood fuel-Performance boiler,2500
2024,D3,Wood fuel-Performance boiler,2000
2024,D4,Wood fuel-Performance boiler,2000
2024,D5,Wood fuel-Performance boiler,1000
2024,D6,Wood fuel-Performance boiler,1000
2024,D7,Wood fuel-Performance boiler,1000
2024,D8,Wood fuel-Performance boiler,0
2024,D9,Wood fuel-Performance boiler,0
2024,D10,Wood fuel-Performance boiler,0
2025,D1,Electricity-Heat pump water,4000
2025,D2,Electricity-Heat pump water,4000
2025,D3,Electricity-Heat pump water,3000
2025,D4,Electricity-Heat pump water,3000
2025,D5,Electricity-Heat pump water,2000
2025,D6,Electricity-Heat pump water,2000
2025,D7,Electricity-Heat pump water,2000
2025,D8,Electricity-Heat pump water,2000
2025,D9,Electricity-Heat pump water,0
2025,D10,Electricity-Heat pump water,0
2025,D1,Wood fuel-Performance boiler,2500
2025,D2,Wood fuel-Performance boiler,2500
2025,D3,Wood fuel-Performance boiler,2000
2025,D4,Wood fuel-Performance boiler,2000
2025,D5,Wood fuel-Performance boiler,1000
2025,D6,Wood fuel-Performance boiler,1000
2025,D7,Wood fuel-Performance boiler,1000
2025,D8,Wood fuel-Performance boiler,0
2025,D9,Wood fuel-Performance boiler,0
2025,D10,Wood fuel-Performance boiler,0
2026,D1,Electricity-Heat pump water,4000
2026,D2,Electricity-Heat pump water,4000
2026,D3,Electricity-Heat pump water,3000
2026,D4,Electricity-Heat pump water,3000
2026,D5,Electricity-Heat pump water,2000
2026,D6,Electricity-Heat pump water,2000
2026,D7,Electricity-Heat pump water,2000
2026,D8,Electricity-Heat pump water,2000
2026,D9,Electricity-Heat pump water,0
2026,D10,Electricity-Heat pump water,0
2026,D1,Wood fuel-Performance boiler,2500
2026,D2,Wood fuel-Performance boiler,2500
2026,D3,Wood fuel-Performance boiler,2000
2026,D4,Wood fuel-Performance boiler,2000
2026,D5,Wood fuel-Performance boiler,1000
2026,D6,Wood fuel-Performance boiler,1000
2026,D7,Wood fuel-Performance boiler,1000
2026,D8,Wood fuel-Performance boiler,0
2026,D9,Wood fuel-Performance boiler,0
2026,D10,Wood fuel-Performance boiler,0
2027,D1,Electricity-Heat pump water,4000
2027,D2,Electricity-Heat pump water,4000
2027,D3,Electricity-Heat pump water,3000
2027,D4,Electricity-Heat pump water,3000
2027,D5,Electricity-Heat pump water,2000
2027,D6,Electricity-Heat pump water,2000
2027,D7,Electricity-Heat pump water,2000
2027,D8,Electricity-Heat pump water,2000
2027,D9,Electricity-Heat pump water,0
2027,D10,Electricity-Heat pump water,0
2027,D1,Wood fuel-Performance boiler,2500
2027,D2,Wood fuel-Performance boiler,2500
2027,D3,Wood fuel-Performance boiler,2000
2027,D4,Wood fuel-Performance boiler,2000
2027,D5,Wood fuel-Performance boiler,1000
2027,D6,Wood fuel-Performance boiler,1000
2027,D7,Wood fuel-Performance boiler,1000
2027,D8,Wood fuel-Performance boiler,0
2027,D9,Wood fuel-Performance boiler,0
2027,D10,Wood fuel-Performance boiler,0
2028,D1,Electricity-Heat pump water,4000
2028,D2,Electricity-Heat pump water,4000
2028,D3,Electricity-Heat pump water,3000
2028,D4,Electricity-Heat pump water,3000
2028,D5,Electricity-Heat pump water,2000
2028,D6,Electricity-Heat pump water,2000
2028,D7,Electricity-Heat pump water,2000
2028,D8,Electricity-Heat pump water,2000
2028,D9,Electricity-Heat pump water,0
2028,D10,Electricity-Heat pump water,0
2028,D1,Wood fuel-Performance boiler,2500
2028,D2,Wood fuel-Performance boiler,2500
2028,D3,Wood fuel-Performance boiler,2000
2028,D4,Wood fuel-Performance boiler,2000
2028,D5,Wood fuel-Performance boiler,1000
2028,D6,Wood fuel-Performance boiler,1000
2028,D7,Wood fuel-Performance boiler,1000
2028,D8,Wood fuel-Performance boiler,0
2028,D9,Wood fuel-Performance boiler,0
2028,D10,Wood fuel-Performance boiler,0
2029,D1,Electricity-Heat pump water,4000
2029,D2,Electricity-Heat pump water,4000
2029,D3,Electricity-Heat pump water,3000
2029,D4,Electricity-Heat pump water,3000
2029,D5,Electricity-Heat pump water,2000
2029,D6,Electricity-Heat pump water,2000
2029,D7,Electricity-Heat pump water,2000
2029,D8,Electricity-Heat pump water,2000
2029,D9,Electricity-Heat pump water,0
2029,D10,Electricity-Heat pump water,0
2029,D1,Wood fuel-Performance boiler,2500
2029,D2,Wood fuel-Performance boiler,2500
2029,D3,Wood fuel-Performance boiler,2000
2029,D4,Wood fuel-Performance boiler,2000
2029,D5,Wood fuel-Performance boiler,1000
2029,D6,Wood fuel-Performance boiler,1000
2029,D7,Wood fuel-Performance boiler,1000
2029,D8,Wood fuel-Performance boiler,0
2029,D9,Wood fuel-Performance boiler,0
2029,D10,Wood fuel-Performance boiler,0
2030,D1,Electricity-Heat pump water,4000
2030,D2,Electricity-Heat pump water,4000
2030,D3,Electricity-Heat pump water,3000
2030,D4,Electricity-Heat pump water,3000
2030,D5,Electricity-Heat pump water,2000
2030,D6,Electricity-Heat pump water,2000
2030,D7,Electricity-Heat pump water,2000
2030,D8,Electricity-Heat pump water,2000
2030,D9,Electricity-Heat pump water,0
2030,D10,Electricity-Heat pump water,0
2030,D1,Wood fuel-Performance boiler,2500
2030,D2,Wood fuel-Performance boiler,2500
2030,D3,Wood fuel-Performance boiler,2000
2030,D4,Wood fuel-Performance boiler,2000
2030,D5,Wood fuel-Performance boiler,1000
2030,D6,Wood fuel-Performance boiler,1000
2030,D7,Wood fuel-Performance boiler,1000
2030,D8,Wood fuel-Performance boiler,0
2030,D9,Wood fuel-Performance boiler,0
2030,D10,Wood fuel-Performance boiler,0
2031,D1,Electricity-Heat pump water,4000
2031,D2,Electricity-Heat pump water,4000
2031,D3,Electricity-Heat pump water,3000
2031,D4,Electricity-Heat pump water,3000
2031,D5,Electricity-Heat pump water,2000
2031,D6,Electricity-Heat pump water,2000
2031,D7,Electricity-Heat pump water,2000
2031,D8,Electricity-Heat pump water,2000
2031,D9,Electricity-Heat pump water,0
2031,D10,Electricity-Heat pump water,0
2031,D1,Wood fuel-Performance boiler,0
2031,D2,Wood fuel-Performance boiler,0
2031,D3,Wood fuel-Performance boiler,0
2031,D4,Wood fuel-Performance boiler,0
2031,D5,Wood fuel-Performance boiler,0
2031,D6,Wood fuel-Performance boiler,0
2031,D7,Wood fuel-Performance boiler,0
2031,D8,Wood fuel-Performance boiler,0
2031,D9,Wood fuel-Performance boiler,0
2031,D10,Wood fuel-Performance boiler,0
2032,D1,Electricity-Heat pump water,4000
2032,D2,Electricity-Heat pump water,4000
2032,D3,Electricity-Heat pump water,3000
2032,D4,Electricity-Heat pump water,3000
2032,D5,Electricity-Heat pump water,2000
2032,D6,Electricity-Heat pump water,2000
2032,D7,Electricity-Heat pump water,2000
2032,D8,Electricity-Heat pump water,2000
2032,D9,Electricity-Heat pump water,0
2032,D10,Electricity-Heat pump water,0
2032,D1,Wood fuel-Performance boiler,0
2032,D2,Wood fuel-Performance boiler,0
2032,D3,Wood fuel-Performance boiler,0
2032,D4,Wood fuel-Performance boiler,0
2032,D5,Wood fuel-Performance boiler,0
2032,D6,Wood fuel-Performance boiler,0
2032,D7,Wood fuel-Performance boiler,0
2032,D8,Wood fuel-Performance boiler,0
2032,D9,Wood fuel-Performance boiler,0
2032,D10,Wood fuel-Performance boiler,0
2033,D1,Electricity-Heat pump water,4000
2033,D2,Electricity-Heat pump water,4000
2033,D3,Electricity-Heat pump water,3000
2033,D4,Electricity-Heat pump water,3000
2033,D5,Electricity-Heat pump water,2000
2033,D6,Electricity-Heat pump water,2000
2033,D7,Electricity-Heat pump water,2000
2033,D8,Electricity-Heat pump water,2000
2033,D9,Electricity-Heat pump water,0
2033,D10,Electricity-Heat pump water,0
2033,D1,Wood fuel-Performance boiler,0
2033,D2,Wood fuel-Performance boiler,0
2033,D3,Wood fuel-Performance boiler,0
2033,D4,Wood fuel-Performance boiler,0
2033,D5,Wood fuel-Performance boiler,0
2033,D6,Wood fuel-Performance boiler,0
2033,D7,Wood fuel-Performance boiler,0
2033,D8,Wood fuel-Performance boiler,0
2033,D9,Wood fuel-Performance boiler,0
2033,D10,Wood fuel-Performance boiler,0
2034,D1,Electricity-Heat pump water,4000
2034,D2,Electricity-Heat pump water,4000
2034,D3,Electricity-Heat pump water,3000
2034,D4,Electricity-Heat pump water,3000
2034,D5,Electricity-Heat pump water,2000
