Year,Income owner,Heating system final,MPR
2034,D6,Electricity-Heat pump water,2000
2034,D7,Electricity-Heat pump water,2000
2034,D8,Electricity-Heat pump water,2000
2034,D9,Electricity-Heat pump water,0
2034,D10,Electricity-Heat pump water,0
2034,D1,Wood fuel-Performance boiler,0
2034,D2,Wood fuel-Performance boiler,0
2034,D3,Wood fuel-Performance boiler,0
2034,D4,Wood fuel-Performance boiler,0
2034,D5,Wood fuel-Performance boiler,0
2034,D6,Wood fuel-Performance boiler,0
2034,D7,Wood fuel-Performance boiler,0
2034,D8,Wood fuel-Performance boiler,0
2034,D9,Wood fuel-Performance boiler,0
2034,D10,Wood fuel-Performance boiler,0
2035,D1,Electricity-Heat pump water,4000
2035,D2,Electricity-Heat pump water,4000
2035,D3,Electricity-Heat pump water,3000
2035,D4,Electricity-Heat pump water,3000
2035,D5,Electricity-Heat pump water,2000
2035,D6,Electricity-Heat pump water,2000
2035,D7,Electricity-Heat pump water,2000
2035,D8,Electricity-Heat pump water,2000
2035,D9,Electricity-Heat pump water,0
2035,D10,Electricity-Heat pump water,0
2035,D1,Wood fuel-Performance boiler,0
2035,D2,Wood fuel-Performance boiler,0
2035,D3,Wood fuel-Performance boiler,0
2035,D4,Wood fuel-Performance boiler,0
2035,D5,Wood fuel-Performance boiler,0
2035,D6,Wood fuel-Performance boiler,0
2035,D7,Wood fuel-Performance boiler,0
2035,D8,Wood fuel-Performance boiler,0
2035,D9,Wood fuel-Performance boiler,0
2035,D10,Wood fuel-Performance boiler,0
2036,D1,Electricity-Heat pump water,4000
2036,D2,Electricity-Heat pump water,4000
2036,D3,Electricity-Heat pump water,3000
2036,D4,Electricity-Heat pump water,3000
2036,D5,Electricity-Heat pump water,2000
2036,D6,Electricity-Heat pump water,2000
2036,D7,Electricity-Heat pump water,2000
2036,D8,Electricity-Heat pump water,2000
2036,D9,Electricity-Heat pump water,0
2036,D10,Electricity-Heat pump water,0
2036,D1,Wood fuel-Performance boiler,0
2036,D2,Wood fuel-Performance boiler,0
2036,D3,Wood fuel-Performance boiler,0
2036,D4,Wood fuel-Performance boiler,0
2036,D5,Wood fuel-Performance boiler,0
2036,D6,Wood fuel-Performance boiler,0
2036,D7,Wood fuel-Performance boiler,0
2036,D8,Wood fuel-Performance boiler,0
2036,D9,Wood fuel-Performance boiler,0
2036,D10,Wood fuel-Performance boiler,0
2037,D1,Electricity-Heat pump water,4000
2037,D2,Electricity-Heat pump water,4000
2037,D3,Electricity-Heat pump water,3000
2037,D4,Electricity-Heat pump water,3000
2037,D5,Electricity-Heat pump water,2000
2037,D6,Electricity-Heat pump water,2000
2037,D7,Electricity-Heat pump water,2000
2037,D8,Electricity-Heat pump water,2000
2037,D9,Electricity-Heat pump water,0
2037,D10,Electricity-Heat pump water,0
2037,D1,Wood fuel-Performance boiler,0
2037,D2,Wood fuel-Performance boiler,0
2037,D3,Wood fuel-Performance boiler,0
2037,D4,Wood fuel-Performance boiler,0
2037,D5,Wood fuel-Performance boiler,0
2037,D6,Wood fuel-Performance boiler,0
2037,D7,Wood fuel-Performance boiler,0
2037,D8,Wood fuel-Performance boiler,0
2037,D9,Wood fuel-Performance boiler,0
2037,D10,Wood fuel-Performance boiler,0
2038,D1,Electricity-Heat pump water,4000
2038,D2,Electricity-Heat pump water,4000
2038,D3,Electricity-Heat pump water,3000
2038,D4,Electricity-Heat pump water,3000
2038,D5,Electricity-Heat pump water,2000
2038,D6,Electricity-Heat pump water,2000
2038,D7,Electricity-Heat pump water,2000
2038,D8,Electricity-Heat pump water,2000
2038,D9,Electricity-Heat pump water,0
2038,D10,Electricity-Heat pump water,0
2038,D1,Wood fuel-Performance boiler,0
2038,D2,Wood fuel-Performance boiler,0
2038,D3,Wood fuel-Performance boiler,0
2038,D4,Wood fuel-Performance boiler,0
2038,D5,Wood fuel-Performance boiler,0
2038,D6,Wood fuel-Performance boiler,0
2038,D7,Wood fuel-Performance boiler,0
2038,D8,Wood fuel-Performance boiler,0
2038,D9,Wood fuel-Performance boiler,0
2038,D10,Wood fuel-Performance boiler,0
2039,D1,Electricity-Heat pump water,4000
2039,D2,Electricity-Heat pump water,4000
2039,D3,Electricity-Heat pump water,3000
2039,D4,Electricity-Heat pump water,3000
2039,D5,Electricity-Heat pump water,2000
2039,D6,Electricity-Heat pump water,2000
2039,D7,Electricity-Heat pump water,2000
2039,D8,Electricity-Heat pump water,2000
2039,D9,Electricity-Heat pump water,0
2039,D10,Electricity-Heat pump water,0
2039,D1,Wood fuel-Performance boiler,0
2039,D2,Wood fuel-Performance boiler,0
2039,D3,Wood fuel-Performance boiler,0
2039,D4,Wood fuel-Performance boiler,0
2039,D5,Wood fuel-Performance boiler,0
2039,D6,Wood fuel-Performance boiler,0
2039,D7,Wood fuel-Performance boiler,0
2039,D8,Wood fuel-Performance boiler,0
2039,D9,Wood fuel-Performance boiler,0
2039,D10,Wood fuel-Performance boiler,0
2040,D1,Electricity-Heat pump water,4000
2040,D2,Electricity-Heat pump water,4000
2040,D3,Electricity-Heat pump water,3000
2040,D4,Electricity-Heat pump water,3000
2040,D5,Electricity-Heat pump water,2000
2040,D6,Electricity-Heat pump water,2000
2040,D7,Electricity-Heat pump water,2000
2040,D8,Electricity-Heat pump water,2000
2040,D9,Electricity-Heat pump water,0
2040,D10,Electricity-Heat pump water,0
2040,D1,Wood fuel-Performance boiler,0
2040,D2,Wood fuel-Performance boiler,0
2040,D3,Wood fuel-Performance boiler,0
2040,D4,Wood fuel-Performance boiler,0
2040,D5,Wood fuel-Performance boiler,0
2040,D6,Wood fuel-Performance boiler,0
2040,D7,Wood fuel-Performance boiler,0
2040,D8,Wood fuel-Performance boiler,0
2040,D9,Wood fuel-Performance boiler,0
2040,D10,Wood fuel-Performance boiler,0
2041,D1,Electricity-Heat pump water,4000
2041,D2,Electricity-Heat pump water,4000
2041,D3,Electricity-Heat pump water,3000
2041,D4,Electricity-Heat pump water,3000
2041,D5,Electricity-Heat pump water,2000
2041,D6,Electricity-Heat pump water,2000
2041,D7,Electricity-Heat pump water,2000
2041,D8,Electricity-Heat pump water,2000
2041,D9,Electricity-Heat pump water,0
2041,D10,Electricity-Heat pump water,0
2041,D1,Wood fuel-Performance boiler,0
2041,D2,Wood fuel-Performance boiler,0
2041,D3,Wood fuel-Performance boiler,0
2041,D4,Wood fuel-Performance boiler,0
2041,D5,Wood fuel-Performance boiler,0
2041,D6,Wood fuel-Performance boiler,0
2041,D7,Wood fuel-Performance boiler,0
2041,D8,Wood fuel-Performance boiler,0
2041,D9,Wood fuel-Performance boiler,0
2041,D10,Wood fuel-Performance boiler,0
2042,D1,Electricity-Heat pump water,4000
2042,D2,Electricity-Heat pump water,4000
2042,D3,Electricity-Heat pump water,3000
2042,D4,Electricity-Heat pump water,3000
2042,D5,Electricity-Heat pump water,2000
2042,D6,Electricity-Heat pump water,2000
2042,D7,Electricity-Heat pump water,2000
2042,D8,Electricity-Heat pump water,2000
2042,D9,Electricity-Heat pump water,0
2042,D10,Electricity-Heat pump water,0
2042,D1,Wood fuel-Performance boiler,0
2042,D2,Wood fuel-Performance boiler,0
2042,D3,Wood fuel-Performance boiler,0
2042,D4,Wood fuel-Performance boiler,0
2042,D5,Wood fuel-Performance boiler,0
2042,D6,Wood fuel-Performance boiler,0
2042,D7,Wood fuel-Performance boiler,0
2042,D8,Wood fuel-Performance boiler,0
2042,D9,Wood fuel-Performance boiler,0
2042,D10,Wood fuel-Performance boiler,0
2043,D1,Electricity-Heat pump water,4000
2043,D2,Electricity-Heat pump water,4000
2043,D3,Electricity-Heat pump water,3000
2043,D4,Electricity-Heat pump water,3000
2043,D5,Electricity-Heat pump water,2000
2043,D6,Electricity-Heat pump water,2000
2043,D7,Electricity-Heat pump water,2000
2043,D8,Electricity-Heat pump water,2000
2043,D9,Electricity-Heat pump water,0
2043,D10,Electricity-Heat pump water,0
2043,D1,Wood fuel-Performance boiler,0
2043,D2,Wood fuel-Performance boiler,0
2043,D3,Wood fuel-Performance boiler,0
2043,D4,Wood fuel-Performance boiler,0
2043,D5,Wood fuel-Performance boiler,0
2043,D6,Wood fuel-Performance boiler,0
2043,D7,Wood fuel-Performance boiler,0
2043,D8,Wood fuel-Performance boiler,0
2043,D9,Wood fuel-Performance boiler,0
2043,D10,Wood fuel-Performance boiler,0
2044,D1,Electricity-Heat pump water,4000
2044,D2,Electricity-Heat pump water,4000
2044,D3,Electricity-Heat pump water,3000
2044,D4,Electricity-Heat pump water,3000
2044,D5,Electricity-Heat pump water,2000
2044,D6,Electricity-Heat pump water,2000
2044,D7,Electricity-Heat pump water,2000
2044,D8,Electricity-Heat pump water,2000
2044,D9,Electricity-Heat pump water,0
2044,D10,Electricity-Heat pump water,0
2044,D1,Wood fuel-Performance boiler,0
2044,D2,Wood fuel-Performance boiler,0
2044,D3,Wood fuel-Performance boiler,0
2044,D4,Wood fuel-Performance boiler,0
2044,D5,Wood fuel-Performance boiler,0
2044,D6,Wood fuel-Performance boiler,0
2044,D7,Wood fuel-Performance boiler,0
2044,D8,Wood fuel-Performance boiler,0
2044,D9,Wood fuel-Performance boiler,0
2044,D10,Wood fuel-Performance boiler,0
2045,D1,Electricity-Heat pump water,4000
2045,D2,Electricity-Heat pump water,4000
2045,D3,Electricity-Heat pump water,3000
2045,D4,Electricity-Heat pump water,3000
2045,D5,Electricity-Heat pump water,2000
2045,D6,Electricity-Heat pump water,2000
2045,D7,Electricity-Heat pump water,2000
2045,D8,Electricity-Heat pump water,2000
2045,D9,Electricity-Heat pump water,0
2045,D10,Electricity-Heat pump water,0
2045,D1,Wood fuel-Performance boiler,0
2045,D2,Wood fuel-Performance boiler,0
2045,D3,Wood fuel-Performance boiler,0
2045,D4,Wood fuel-Performance boiler,0
2045,D5,Wood fuel-Performance boiler,0
2045,D6,Wood fuel-Performance boiler,0
2045,D7,Wood fuel-Performance boiler,0
2045,D8,Wood fuel-Performance boiler,0
2045,D9,Wood fuel-Performance boiler,0
2045,D10,Wood fuel-Performance boiler,0
2046,D1,Electricity-Heat pump water,4000
2046,D2,Electricity-Heat pump water,4000
2046,D3,Electricity-Heat pump water,3000
2046,D4,Electricity-Heat pump water,3000
2046,D5,Electricity-Heat pump water,2000
2046,D6,Electricity-Heat pump water,2000
2046,D7,Electricity-Heat pump water,2000
2046,D8,Electricity-Heat pump water,2000
2046,D9,Electricity-Heat pump water,0
2046,D10,Electricity-Heat pump water,0
2046,D1,Wood fuel-Performance boiler,0
2046,D2,Wood fuel-Performance boiler,0
2046,D3,Wood fuel-Performance boiler,0
2046,D4,Wood fuel-Performance boiler,0
2046,D5,Wood fuel-Performance boiler,0
2046,D6,Wood fuel-Performance boiler,0
2046,D7,Wood fuel-Performance boiler,0
2046,D8,Wood fuel-Performance boiler,0
2046,D9,Wood fuel-Performance boiler,0
2046,D10,Wood fuel-Performance boiler,0
2047,D1,Electricity-Heat pump water,4000
2047,D2,Electricity-Heat pump water,4000
2047,D3,Electricity-Heat pump water,3000
2047,D4,Electricity-Heat pump water,3000
2047,D5,Electricity-Heat pump water,2000
2047,D6,Electricity-Heat pump water,2000
2047,D7,Electricity-Heat pump water,2000
2047,D8,Electricity-Heat pump water,2000
2047,D9,Electricity-Heat pump water,0
2047,D10,Electricity-Heat pump water,0
2047,D1,Wood fuel-Performance boiler,0
2047,D2,Wood fuel-Performance boiler,0
2047,D3,Wood fuel-Performance boiler,0
2047,D4,Wood fuel-Performance boiler,0
2047,D5,Wood fuel-Performance boiler,0
2047,D6,Wood fuel-Performance boiler,0
2047,D7,Wood fuel-Performance boiler,0
2047,D8,Wood fuel-Performance boiler,0
2047,D9,Wood fuel-Performance boiler,0
2047,D10,Wood fuel-Performance boiler,0
2048,D1,Electricity-Heat pump water,4000
2048,D2,Electricity-Heat pump water,4000
2048,D3,Electricity-Heat pump water,3000
2048,D4,Electricity-Heat pump water,3000
2048,D5,Electricity-Heat pump water,2000
2048,D6,Electricity-Heat pump water,2000
2048,D7,Electricity-Heat pump water,2000
2048,D8,Electricity-Heat pump water,2000
2048,D9,Electricity-Heat pump water,0
2048,D10,Electricity-Heat pump water,0
2048,D1,Wood fuel-Performance boiler,0
2048,D2,Wood fuel-Performance boiler,0
2048,D3,Wood fuel-Performance boiler,0
2048,D4,Wood fuel-Performance boiler,0
2048,D5,Wood fuel-Performance boiler,0
2048,D6,Wood fuel-Performance boiler,0
2048,D7,Wood fuel-Performance boiler,0
2048,D8,Wood fuel-Performance boiler,0
2048,D9,Wood fuel-Performance boiler,0
2048,D10,Wood fuel-Performance boiler,0
2049,D1,Electricity-Heat pump water,4000
2049,D2,Electricity-Heat pump water,4000
2049,D3,Electricity-Heat pump water,3000
2049,D4,Electricity-Heat pump water,3000
2049,D5,Electricity-Heat pump water,2000
2049,D6,Electricity-Heat pump water,2000
2049,D7,Electricity-Heat pump water,2000
2049,D8,Electricity-Heat pump water,2000
2049,D9,Electricity-Heat pump water,0
2049,D10,Electricity-Heat pump water,0
2049,D1,Wood fuel-Performance boiler,0
2049,D2,Wood fuel-Performance boiler,0
2049,D3,Wood fuel-Performance boiler,0
2049,D4,Wood fuel-Performance boiler,0
2049,D5,Wood fuel-Performance boiler,0
2049,D6,Wood fuel-Performance boiler,0
2049,D7,Wood fuel-Performance boiler,0
2049,D8,Wood fuel-Performance boiler,0
2049,D9,Wood fuel-Performance boiler,0
2049,D10,Wood fuel-Performance boiler,0
2050,D1,Electricity-Heat pump water,4000
2050,D2,Electricity-Heat pump water,4000
2050,D3,Electricity-Heat pump water,3000
2050,D4,Electricity-Heat pump water,3000
2050,D5,Electricity-Heat pump water,2000
2050,D6,Electricity-Heat pump water,2000
2050,D7,Electricity-Heat pump water,2000
2050,D8,Electricity-Heat pump water,2000
2050,D9,Electricity-Heat pump water,0
2050,D10,Electricity-Heat pump water,0
2050,D1,Wood fuel-Performance boiler,0
2050,D2,Wood fuel-Performance boiler,0
2050,D3,Wood fuel-Performance boiler,0
2050,D4,Wood fuel-Performance boiler,0
2050,D5,Wood fuel-Performance boiler,0
2050,D6,Wood fuel-Performance boiler,0
2050,D7,Wood fuel-Performance boiler,0
2050,D8,Wood fuel-Performance boiler,0
2050,D9,Wood fuel-Performance boiler,0
2050,D10,Wood fuel-Performance boiler,0